OBJECTID,GEOID,STATE,COUNTY,TRACT,LOWMOD,LOWMODUNIV,LOWMODPCT,UCLMOD,UCLMODU,UCLMODPCT,SHAPE_Length,SHAPE_Area
38128,47157020610,47,157,020610,1950,4375,44.57,NA,NA,NA,0.122075470394156,7.5741790679458e-4
38142,47157020633,47,157,020633,460,2930,15.7,NA,NA,NA,0.109080139858467,4.5416955331344e-4
38143,47157980200,47,157,980200,NA,NA,0,NA,NA,NA,0.319967701297536,0.00449971600871334
38155,47157021139,47,157,021139,205,4065,5.04,NA,NA,NA,0.145708797796755,8.6033114981106e-4
38159,47157021530,47,157,021530,445,5175,8.6,NA,NA,NA,0.131052127996667,9.9439151630594e-4
38182,47157009700,47,157,009700,2475,3640,67.99,NA,NA,NA,0.0693853846666531,1.7759122722959e-4
38183,47157009800,47,157,009800,1830,3040,60.2,NA,NA,NA,0.0761892613019773,3.5616776700988e-4
38191,47157001200,47,157,001200,2405,3580,67.18,NA,NA,NA,0.0603662036342995,2.1449868103748e-4
38192,47157001300,47,157,001300,2190,3440,63.66,NA,NA,NA,0.0531801886672299,1.6467525469501e-4
38193,47157001400,47,157,001400,1105,1515,72.94,NA,NA,NA,0.0430585713323241,1.2128305427556e-4
38194,47157007500,47,157,007500,1100,1490,73.83,NA,NA,NA,0.0535549134076185,1.7068990943748e-4
38204,47157021741,47,157,021741,3295,7480,44.05,NA,NA,NA,0.0831304982871932,3.9104340067236e-4
38205,47157007810,47,157,007810,2635,3100,85,NA,NA,NA,0.128179905342358,5.9130112119635e-4
38212,47157020652,47,157,020652,1345,5960,22.57,NA,NA,NA,0.073902163421291,3.1994121870006e-4
38224,47157011800,47,157,011800,3200,5455,58.66,NA,NA,NA,0.0856383973807089,3.7978118673505e-4
38225,47157980400,47,157,980400,NA,NA,0,NA,NA,NA,0.196977874007227,0.00180325123851084
38231,47157006000,47,157,006000,1465,2045,71.64,NA,NA,NA,0.0575119174470127,1.5111661002308e-4
38250,47157020643,47,157,020643,900,7755,11.61,NA,NA,NA,0.122332182300033,7.4471072284554e-4
38261,47157006200,47,157,006200,1830,2730,67.03,NA,NA,NA,0.0544235597321929,1.6061707388172e-4
38262,47157006300,47,157,006300,860,2160,39.81,NA,NA,NA,0.0496109310771616,1.1957762268305e-4
38263,47157006400,47,157,006400,535,1320,40.53,NA,NA,NA,0.0403808567148386,9.55220963310115e-5
38265,47157022111,47,157,022111,3175,5110,62.13,NA,NA,NA,0.0867968352162291,4.1053922392708e-4
38266,47157022112,47,157,022112,2810,5575,50.4,NA,NA,NA,0.0739248657168081,3.2523043133668e-4
38267,47157021420,47,157,021420,425,3455,12.3,NA,NA,NA,0.083076200107966,4.2309794144702e-4
