GEOID10,low,lowmod,lmmi,lowmoduniv,lowmod_pct,moe_lowmod_pct
471570215401,90,770,1215,5400,0.1426,0.0654
471570215402,30,145,205,4340,0.0334,0.0353
471570215403,65,90,245,2500,0.036000000000000004,0.0252
471570216111,530,710,890,2115,0.3357,0.21230000000000002
471570216112,70,600,760,1750,0.3429,0.28800000000000003
471570216113,105,285,500,1330,0.2143,0.2316
471570216114,0,65,220,1510,0.043,0.0748
471570216121,50,325,670,2030,0.16010000000000002,0.0739
471570216122,10,85,360,2955,0.0288,0.028399999999999998
471570216131,0,155,335,1560,0.09939999999999999,0.12240000000000001
471570216132,20,40,165,1205,0.0332,0.0407
471570216133,80,150,280,2010,0.0746,0.0582
471570216201,315,440,695,1170,0.3761,0.2803
471570216202,240,580,870,1900,0.3053,0.1105
471570217101,1235,1855,2025,2215,0.8375,0.1463
471570217102,180,365,405,650,0.5615,0.27690000000000003
471570217211,1045,1310,1505,2275,0.5758,0.1442
471570217212,1505,1760,1805,1805,0.9751000000000001,0.318
471570217213,625,830,1185,1285,0.6459,0.1844
471570217241,250,520,705,1050,0.49520000000000003,0.1905
471570217242,415,720,1015,1370,0.5255,0.1613
471570217251,385,535,730,845,0.6331,0.17629999999999998
471570217252,755,1510,1705,1795,0.8412000000000001,0.2256
471570217253,505,1090,1630,2100,0.519,0.20379999999999998
471570217261,215,330,480,635,0.5196999999999999,0.23620000000000002
471570217262,1360,1980,2305,2400,0.825,0.2413
471570217263,1235,1485,1705,1705,0.871,0.3771
471570217311,765,1055,1335,1720,0.6134000000000001,0.168
471570217312,725,975,1060,1260,0.7737999999999999,0.2373
471570217321,765,1105,1470,1820,0.6071,0.2302
471570217322,1470,2000,2135,2145,0.9323999999999999,0.24059999999999998
471570217323,445,710,760,905,0.7845,0.4486
471570217324,635,865,1055,1895,0.45649999999999996,0.2491
471570217411,650,1525,1770,2305,0.6616,0.4208
471570217412,930,1060,1460,2025,0.5235,0.24539999999999998
471570217413,790,1290,1670,2020,0.6386,0.2569
471570217414,1140,1250,1670,2320,0.5388000000000001,0.2754
471570217441,255,540,895,1380,0.39130000000000004,0.16449999999999998
471570217442,195,415,890,1670,0.24850000000000003,0.1479
471570217443,50,265,920,1895,0.1398,0.08070000000000001
471570217444,115,185,585,1180,0.1568,0.11689999999999999
471570217451,200,710,1335,2325,0.3054,0.17550000000000002
471570217452,445,960,1645,4350,0.2207,0.1106
471570217453,15,330,620,1315,0.251,0.1916
471570217461,270,780,1105,1530,0.5097999999999999,0.20199999999999999
471570217462,460,705,870,1245,0.5663,0.3141
471570217463,560,975,1360,1795,0.5432,0.2145
471570217471,380,985,1335,2140,0.4603,0.1607
471570217472,390,485,825,1455,0.3333,0.2323
471570217511,685,985,2315,4360,0.2259,0.13
471570217512,190,395,625,2520,0.1567,0.0968
471570217521,690,1170,2280,4685,0.24969999999999998,0.1112
471570217531,140,245,1055,1785,0.1373,0.0874
471570217532,205,340,490,1690,0.20120000000000002,0.1266
471570217541,520,945,1700,2175,0.43450000000000005,0.21289999999999998
471570217542,530,1000,1230,2215,0.4515,0.18420000000000003
471570219001,665,840,1055,1090,0.7706000000000001,0.245
471570219002,640,1055,1350,1760,0.5993999999999999,0.2114
471570219003,330,430,600,900,0.4778,0.2589
471570219004,400,755,1260,1480,0.5101,0.2007
471570220221,470,585,750,775,0.7548,0.4374
471570220222,430,470,470,470,1,0.5404
471570220223,260,900,900,900,1,0.6589
471570220224,85,85,240,260,0.32689999999999997,0.2731
471570220225,440,620,760,910,0.6812999999999999,0.36369999999999997
471570220231,360,560,760,1255,0.4462,0.1482
471570220232,215,235,395,410,0.5732,0.2683
471570220233,45,60,70,70,0.8571,1.0429000000000002
471570220241,220,505,655,1155,0.4372,0.28309999999999996
471570220242,110,175,310,680,0.25739999999999996,0.1971
471570220243,380,685,1300,1595,0.42950000000000005,0.20879999999999999
471570221111,1095,1255,1505,1505,0.8339,0.3741
471570221112,430,675,860,1005,0.6716,0.36719999999999997
471570221113,860,1650,1925,2175,0.7585999999999999,0.30210000000000004
471570221114,75,125,350,350,0.35710000000000003,0.5543
471570221121,850,1040,1335,1550,0.6709999999999999,0.3555
471570221122,1065,1195,1635,1970,0.6065999999999999,0.26649999999999996
471570221123,445,910,1060,1335,0.6816,0.32659999999999995
471570221124,855,1260,1320,1540,0.8181999999999999,0.2864
471570221211,180,430,775,1525,0.282,0.1148
471570221212,510,635,910,1770,0.3588,0.1322
471570221213,540,670,1010,1695,0.3953,0.187
471570221221,280,530,590,1070,0.4953,0.3262
471570221222,325,395,405,610,0.6475,0.2852
471570221223,155,340,845,1390,0.2446,0.1331
471570221224,715,820,985,1035,0.7923,0.37200000000000005
471570221301,355,520,760,1200,0.43329999999999996,0.1942
471570221302,185,325,465,540,0.6019,0.3481
471570221303,805,1290,1360,1905,0.6772,0.2693
471570221304,40,370,735,1055,0.3507,0.3109
471570221305,450,465,580,800,0.5813,0.6875
471570222101,1155,1585,1880,2625,0.6038,0.16879999999999998
471570222102,470,770,805,930,0.828,0.2473
471570222103,475,620,980,1000,0.62,0.243
471570222201,215,435,460,540,0.8056,0.4019
471570222202,220,225,250,250,0.9,0.436
471570222203,320,720,790,815,0.8834000000000001,0.3239
471570222204,265,570,850,970,0.5876,0.30519999999999997
471570222205,270,390,720,880,0.4432,0.1966
471570223101,390,390,390,685,0.5693,0.45990000000000003
471570223102,515,780,955,1320,0.5909,0.2364
471570223103,600,930,1080,1135,0.8194,0.2916
471570223104,395,480,595,825,0.5818,0.3139
471570223105,1195,1500,1680,1760,0.8523000000000001,0.32159999999999994
471570223211,220,260,285,490,0.5306000000000001,0.2898
471570223212,400,825,1035,1190,0.6933,0.30760000000000004
471570223213,590,1110,1335,1715,0.6472,0.2122
471570223221,840,1200,1375,1790,0.6704000000000001,0.1905
471570223222,345,695,825,1100,0.6318,0.2618
471570223223,85,185,245,395,0.46840000000000004,0.22030000000000002
471570223224,135,210,420,625,0.336,0.1648
471570223301,700,1055,1160,1330,0.7931999999999999,0.28350000000000003
471570223302,320,1050,1295,1450,0.7241,0.1869
471570223303,665,1395,1570,1990,0.701,0.2503
471570224101,135,555,665,755,0.7351000000000001,0.4424
471570224102,420,680,810,950,0.7158,0.4621
471570224103,455,1065,1370,1680,0.6339,0.3685
471570224104,660,675,1200,2050,0.3293,0.27949999999999997
471570224105,345,535,810,1220,0.4385,0.2459
471570225001,1190,1655,1920,2085,0.7938,0.2576
471570225002,215,305,525,1285,0.23739999999999997,0.1447
471570225003,15,15,15,95,0.15789999999999998,0.29469999999999996
471570225004,520,530,955,1140,0.46490000000000004,0.20879999999999999
471570225005,250,760,930,1065,0.7136,0.5042
471570226001,805,1495,1790,2330,0.6416,0.2206
471570226002,960,1365,1775,2210,0.6175999999999999,0.1946
471570227001,485,580,730,815,0.7117,0.47729999999999995
471570227002,495,595,850,1030,0.5777,0.2845
471570227003,585,680,1070,1320,0.5152,0.2318
471570227004,810,1035,1160,1725,0.6,0.3038
471570227005,935,1900,2205,2300,0.8261,0.3009
471579801001,0,0,0,0,0,NA
471579802001,0,0,0,0,0,NA
471579803001,0,0,0,0,0,NA
471579804001,0,0,0,0,0,NA
